id,title,artist,room,medium,classification,dated,style
109318,"Evening, Storm Clearing Off",John Linnell,G321,Oil on paper laid on panel, Paintings,1818-1819,19th century
59510,Wreck of the Ol' '97,"Artist: Thomas Hart Benton; Publisher: Associated American Artists, New York",Not on View,Lithograph, Prints,1944,20th century
108666,Mask,,Not on View,Wood, Woodwork; Accessories,first quarter 20th century,20th century
2806,Nymphenburg,Artist: Vassily Kandinsky,G351,Oil on canvasboard, Paintings,1904,20th century
1738,Peace Concluded,Artist: Sir John Everett Millais,G357,Oil on canvas, Paintings,1856,19th century
1633,Female Figure,Artist: Sir Jacob Epstein,G367,Flenite, Sculpture,1913,20th century
1427,The Poet with the Birds,Artist: Marc Chagall,G377,Oil on canvas, Paintings,1911,20th century
9688,"Vase, one of a pair",,G310,Tin-glazed earthenware, Ceramics,17th century,17th century
98750,Richmond Race Cup,Designer: Robert Adam; Manufacturer: Smith &amp; Sharp; Silversmith: Daniel Smith; Silversmith: Robert Sharp,Not on View,"Silver, gilt", Metalwork,1767,18th century
121719,Autumn Leaves,Artist: Bernard Perlin,G359,Tempera on board, Drawings,1947,20th century
49879,Saint James at the Battle of Clavijo,Artist: Martin Schongauer,Not on View,Engraving, Prints,c. 1470-1475,15th century
3903,Woman in a Bathtub,Artist: Edgar Degas,G351,Bronze, Sculpture,1889 modeled (cast 1920-21) no. 26/C,19th-20th century
1503,The Spanish Playing Cards,Artist: Joan Miró,G367,Oil on canvas, Paintings,1920,20th century
56603,Red Squash,Artist: Gregory Gillespie,Not on View,Mixed media, Paintings,1974-1975,20th century
1509,The Birthday Party,Artist: John Singer Sargent,G351,Oil on canvas, Paintings,1885,19th century
9671,Odd Fellows ceremonial bow,,G331,"Wood, pigment", Woodwork; Ceremonial Objects,1856,19th century
120500,Macy's Parade,Artist: Lucille Corcos,G359,Tempera on masonite, Paintings,1942,20th Century
4398,View of the Colosseum from the Orti Farnesiani,Artist: Antoine-Félix Boisselier,G306,Oil on canvas, Paintings,1833,19th century
1217,Bust of George Washington,Artist: Hiram Powers,G332,Marble, Sculpture,c. 1853,19th century
2421,Cupboard,Maker: Aslak Lie; Sponsor: John Eriksen Engesaethe,G304,"Painted pine, bronze, porcelain", Furniture,1870,19th century
52346,Soldier with Horse and Attendant,Artist: Giambattista Tiepolo (Giovanni Battista Tiepolo),Not on View,Etching, Prints,1743,18th century
8776,Diogenes,Artist: Johann Carl Loth,G308,Oil on canvas, Paintings,17th century,17th century
1356,The Avenger,Artist: Ernst Barlach,G371,Bronze, Sculpture,"modeled 1914, cast 1923",20th century
51935,Death on Horseback,Artist: Stefano della Bella,Not on View,Etching, Prints,1641,17th century
1354,Bronze,Painter: Philip Guston,G375,Oil on canvas, Paintings,1955,20th century
4441,"Pair of elevator grilles, frieze, and overgrille",Designer: Louis Henri Sullivan,G300,"Cast iron, wrought iron, copper-coated wrought iron", Architecture,c. 1893-1894,Prairie School
1862,Little Crow,Artist: Henry H. Cross,G301,Oil on canvas, Paintings,1863,19th century
1378,The Gamblers,Artist: Hendrick ter Brugghen,G312,Oil on canvas, Paintings,1623,17th century
5102,They Say Minnesota Nice (Minnesota Nice Oyakepelo),Painter: Wanbli Koyake,Not on View,Acrylic on paper, Drawings,1995,20th century
63571,Biedermeier secretary,,G333,"Walnut, maple and birch veneers, brass, gilded and ink-inscribed wood, glass mirror", Furniture,1834,19th century
99623,Draped Standing Female Figure,Artist: Elie Nadelman,G359,Plaster, Sculpture,c. 1907-1908,20th century
7565,Gumball Machine,"Artist: Wayne Thiebaud; Publisher: Parasol Press Ltd., New York",Not on View,Color linocut, Prints,1970,20th century
1629,Ganymede and the Eagle,Sculptor: Bertel Thorvaldsen,G307,Marble, Sculpture,1817–29,19th century
13190,The Procuress,Maker: Otto Dix,Not on View,Color lithograph, Prints,1923,20th century
4688,Art-glass panel for a bay window,Designer: William Gray Purcell; Maker: E. L. Sharretts (working for Pittsburgh Plate Glass Co.),G300,"Glass, zinc caming", Glass; Architecture,1909,Prairie School
33040,Manhattan,,G378,Screenprinted linen, Textiles,c. 1947,20th century
47086,The Small War Horse,Artist: Albrecht Dürer,Not on View,Engraving, Prints,1505,16th century
96502,Side chair,,G332,"Painted wood, rush", Furniture,c. 1830,19th century
1727,Portrait of Mlle. Lange as Danae,Artist: Anne-Louis Girodet de Roussy-Trioson,G306,Oil on canvas, Paintings,1799,18th century
1515,The Studio,Artist: Larry Rivers,Not on View,Oil on canvas, Paintings,1956,20th century
111675,Nautilus shell cup,Artist: Unknown,G350,"Nautilus shell, silver, parcel-gilt", Metalwork,c. 1660-1680,17th century
118808,Ram,Artist: William Edmondson,G367,Limestone, Sculpture,1938–1942,20th century
103800,The Clockmaker (Der Uhrmacher/ L'horloger),Artist: Ivan Vasilievich Kliun,G367,Oil on canvas, Paintings,c. 1914,20th century
2730,Lady’s writing desk,Maker: Jean Gaspard Feilt,G314,"Kingwood, oak, marquetry, ormolu mounts", Furniture,c. 1750,18th century
4248,Fireplace surround,Designer: Attributed to John S. Bradstreet; Maker: Grueby Faience Company,G334,Glazed ceramic, Architecture,1902,20th century
1163,"The Piazza San Marco, Venice",Artist: Pierre Auguste Renoir,G355,Oil on canvas, Paintings,1881,19th century
111619,St. Paul and St. Barnabas at Lystra,Artist: Willem de Poorter,G311,Oil on panel, Paintings,1636,17th century
106095,Italian Town by the Sea,Artist: Alexandra Exter,G367,Oil and tempera on canvas, Paintings,c. 1917,20th century
90349,Duchesse d'enfant brisée (child’s chair),Artist: Georges Jacob,G314,"Wood, gilt (modern upholstery)", Furniture,c. 1780,18th century
3908,Basin with Apollo and the Muses,Artist: Workshop of Orazio Fontana,G332,Tin-glazed earthenware, Ceramics,c. 1575-1600,16th-17th century
14011,Window with heraldic cartouche,,G325,Glass, Glass; Architecture,16th century,16th century
4763,"Emerging Fire, Red Rock Variation: Lake Superior Landscape",Artist: George Morrison,G353,Acrylic on canvas on board, Paintings,1993,20th century
10361,The Carpet Merchant,Artist: Jean-Léon Gérôme,G357,Oil on canvas, Paintings,c. 1887,19th century
1429,London: St. Paul's Cathedral seen from the Thames,Artist: André Derain,G371,Oil on canvas, Paintings,1906,20th century
83269,Portrait of Robert Koehler,Artist: Philip Little,G302,Oil on canvas, Paintings,1910,20th century
95926,Del colore della materia,Artist: Daniel Buren,Not on View,"Wood, pigments", Sculpture,1989,20th century
47,Marriage,Artist: Gari Melchers,G302,Oil on canvas, Paintings,1893,19th century
121770,John Brown Reading His Bible,Artist: Horace Pippin,G360,Oil on canvasboard, Paintings,1942,20th century
45,Isles of Shoals,Artist: Childe Hassam,G323,Oil on canvas, Paintings,1899,19th century
109138,Pegasus,Artist: Leo Katz; Printer: Printed at Atelier 17 (New York),Not on View,"Engraving, etching, and soft-ground etching", Prints,1945,20th century
2035,Abduction of Polyxena,Artist: Pio Fedi,G357,"Plaster, polychromed", Sculpture,c. 1855,19th century
89597,#43,Artist: Cy Thao,Not on View,Oil on canvas, Paintings,1993-2001,20th-21st century
119495,Octo 4240 lamp,Designer: Seppo Koho; Manufacturer: Secto Design,G378,"Birch, electrical components", Lighting,2005,21st century
2507,"Sparrow hawk, one of a pair",,G314,Porcelain on ormolu bases, Sculpture; Ceramics,1736–74,18th century
125888,Woman and Small World,Viola Frey,Not on View,Ceramic, Sculpture,1999,20th century
2505,Portrait of a Boy,Artist: attributed to James B. Read,G304,Oil on canvas, Paintings,1856,19th century
1565,Diana with a Bow,Sculptor: Frederick William MacMonnies,G322,Bronze, Sculpture,1890,19th century
774,Portrait of Mlle. Hortense Valpinçon,Artist: Edgar Degas,G351,Oil on mattress ticking, Paintings,c. 1871,19th century
120510,Silver Storm,Artist: Arthur Dove,Not on View,Oil on board, Paintings,1925,20th Century
1274,Golden Bird,Artist: Constantin Brancusi,G377,Bronze, Sculpture,c. 1919,20th century
1277,Portrait of the Artist,Artist: André Derain,G367,Oil on canvas, Paintings,c. 1912-1914,20th century
1355,Study for Portrait VI,Artist: Francis Bacon,G376,Oil on canvas, Paintings,1953,20th century
1887,Madeleine I,Artist: Henri Matisse,Not on View,Bronze, Sculpture,modeled 1901,20th century
3057,Commode,Maker: Antione (Pierre-Antoine) Foullet,G310,"Kingwood marquetry, marble, gilt bronze", Furniture,c. 1775-1800,18th century
121684,Torso,Artist: Arthur B. Carles,Not on View,Oil on canvas, Paintings,1922,20th century
116294,Curator's Office,Artist: Mark Dion,G378,Mixed media installation, Sculpture; Artist Installations,2012-2013,21st century
120582,Nimbus Reclining Female Nude,Artist: William Zorach,Not on View,Stone, Sculpture,1951,20th Century
263,After the Reception,Artist: Douglas Volk,G302,Oil on canvas, Paintings,1887,19th century
1800,The Intrigue,Artist: James Ensor,G371,Oil on canvas, Paintings,1911,20th century
123223,Crucifixion,,G340,Limestone, Sculpture,c. 1180,12th century
82237,Lady's writing desk,Designer: Mervyn E. Macartney; Maker: W. Hall; Manufacturer: Kenton &amp; Co.,G334,"Mahogany, macassar ebony, ivory, brass", Furniture,1891,19th century
3220,Horse and Rider,Artist: Marino Marini,Not on View,Bronze, Sculpture,1950,20th century
5683,The Twins,"Artist: Dale Nichols, American, 1904-1995",G302,Oil on canvas, Paintings,1946,20th century
689,Reminiscences of 1865,Artist: John Frederick Peto,G322,Oil on canvas, Paintings,1904,20th century
1689,The Smoker,Artist: Édouard Manet,G355,Oil on canvas, Paintings,1866,19th century
802,Chestnut Trees at Jas de Bouffan,Artist: Paul Cézanne,G355,Oil on canvas, Paintings,c. 1885-1886,19th century
44,The White Bridge,Artist: John Henry Twachtman,G323,Oil on canvas, Paintings,c. 1895,19th-20th century
